,Marketed Channel (CCM Website),Marketed Channel (Social Media),Marketed Channel (Community Event),Marketed Channel (Family member or friend),Marketed Channel (Current CCM student),Marketed Channel (CCM alumni),Marketed Channel (High School Teacher),Marketed Channel (High School Counselor),Marketed Channel (In-app advertisement),How You Heard (Employer),How You Heard (Billboard),How You Heard (Television),How You Heard (Radio),How You Heard (Home Mailer),How You Heard (Other),Impact (Affordable Cost),Impact (Location/Convenience),Impact (Choice of Programs),Impact (Online Offerings),Impact (Family/Friend Referral),Impact (Faculty/Staff),Impact (College Reputation),Impact (Financial Aid),Impact (Scholarships),Impact (Small Class Sizes),Impact (Extra-curricular Opportunities),Impact (Accepted Transfer Credits),Impact (Negative Experience at Another College),Impact (NJ Stars Program),Impact (Transfer CCM Credits),Impact (College Credit in High School),What degree program are you currently enrolled in?,Motivation (To Get a Job in Computing Field),Motivation (Transfer to Bachelor's Level Program),Motivation (Transfer Credits Back to HS Degree),Motivation (Career Advancement),Motivation (Career Change),Motivation (Professional Development),Motivation (Job Displacement),Motivation (Relocation),Motivation (Keep Current in Tech Industry),Motivation (IT Industry Certifications),Motivation (Financial),Motivation (Personal Enrichment),Major,Scale,Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
422,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,21-24
423,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,,,,,High Impact,,High Impact,,No Impact,Some Impact,No Impact,Some Impact,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,White,21-24
424,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,Some Impact,,Information Technology,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Computer Science,,,Man,White,25-34
425,Yes,Don't recall,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,,Some Impact,,Information Technology,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Non-binary,White,21-24
426,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,,,,,,,Some Impact,,,,,,Some Impact,,Information Security Certificate of Achievement,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Computer Science,,,Woman,Multi-Racial,25-34
427,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Criminal Justice,,,Woman,Multi-Racial,19-20
428,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,Asian,19-20
429,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,CIS Game Development Option,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Cybersecurity,,,Man,Multi-Racial,18 and younger
430,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Information Security Certificate of Achievement,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,White,21-24
431,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Information Security Certificate of Achievement,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Criminal Justice,,,Man,Black/African American,21-24
432,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,,,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Game Development,,,Man,Multi-Racial,19-20
433,Yes,Don't recall,No,Yes,Yes,Don't recall,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,Information Technology and Information Security Certificate of Achievement,,,,,,,,,,,,,,3.0,"The field is fairly new to me, therefore I would need some time to get used to the area of study. I do not dislike nor like computing as I am still trying to understand the field. ",Man,White,19-20
434,Don't recall,Yes,Don't recall,Yes,No,Yes,Don't recall,No,No,No,No,Don't recall,No,Yes,Don't recall,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,,High Impact,,No Impact,,,,High Impact,,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Soicial Science,,,Woman,White,25-34
435,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Graphic Design,,,Man,Multi-Racial,19-20
436,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Unknown,19-20
437,No,No,No,Don't recall,No,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Information Security Certificate of Achievement,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,21-24
438,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Computer Science,,,Man,White,19-20
439,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Undecided,,,Man,White,19-20
440,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,CIS Game Development Option,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Undecided,,,Man,Multi-Racial,18 and younger
441,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,,,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Game Development,,,Man,Multi-Racial,19-20
442,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
443,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Yes,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,,,,High Impact,,Computer Science,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Psychology,,,Man,Multi-Racial,19-20
444,Don't recall,Yes,Don't recall,Yes,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,,High Impact,,Computer Science,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Science,,,Man,White,21-24
445,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,Some Impact,,,,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Computer Science,,,Man,Hispanic,18 and younger
446,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,,High Impact,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,Asian,21-24
447,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,No,No,No,No,No,Don't recall,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,,,No Impact,High Impact,,Business Administration,,,,,,,,,,,,,,4.0,"I am a tech savvy person, and learning more about computer software and hardware is interesting to me.",Man,Hispanic,21-24
448,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Exercise Science,,,Man,Multi-Racial,19-20
449,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,,High Impact,Some Impact,,High Impact,,High Impact,High Impact,,,High Impact,Some Impact,,Some Impact,,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Hispanic,21-24
450,Don't recall,No,No,No,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,Don't recall,Yes,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,Some Impact,No Impact,High Impact,,,Some Impact,High Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Math & Science,,,Man,Multi-Racial,18 and younger
451,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,,,,,,,,,,High Impact,,Computer Science,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Computer Science,,,Man,White,19-20
452,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Man,Black/African American,18 and younger
